"lib_reg";"lat";"lon"
"Auvergne-Rhône-Alpes";45.4471431;4.3852507
"Bourgogne-Franche-Comté";47.2805127;4.9994372
"Bretagne";48.2020471;-2.9326435
"Centre-Val de Loire";47.6256908;-1.0821893
"Corse";42.0396042;9.0128926
"Grand Est";48.699803;6.1878074
"Hauts-de-France";50.4801153;2.7937265
"Ile-de-France";48.8499198;2.6370411
"Normandie";48.8798704;0.1712529
"Nouvelle-Aquitaine";45.7087182;0.626891
"Occitanie";43.8927232;3.2827625
"Pays de la Loire";47.7632836;-0.3299687
"Provence-Alpes-Côte d’Azur";43.9351691;6.0679194
"Guadeloupe";16.265;-61.551
"Saint-Barthélémy";17.9;-62.833333
"Saint-Martin";18.0649256;-63.152029
"Guyane";3.933889;-53.125782
"Martinique";14.641528;-61.024174
"Mayotte";-12.8275;45.166244
"La Réunion";-21.115141;55.536384
